1,1,最終兵器俺達幻の５人目「グヌ」
2,1,ドドンパ
3,1,マイナンバーカードのSレア
4,1,アコースティックギター
5,1,どうぶつの森に無慈悲にも建てられたゴルフ場
6,1,高飛車
7,1,醤油以外絶対に愛せない男
8,1,ウィダーインゼリー
9,1,ぶつかりおじさん
10,1,デニムを着ている座敷童
11,1,平成初期のテレビ番組
12,1,牛角の株51%
13,1,酒盗盗という、酒盗がめちゃくちゃ進む白米
14,1,チョロプ―のリアコ勢
15,1,岡野武弁護士 a.k.a. GAMI
16,1,フランシスコアックス
17,1,モンスターエナジー
18,1,タカヤ夜明けの炎刃王
19,1,砂肝の次回作、岩肝
20,1,強火のチョキ
21,1,二百年後のみちょぱ、いちょぱょょょす
22,1,呼吸を忘れるほど楽しいおしるこ
23,1,サムゲタン
24,1,初心者狩り四天王「VC煽りの朱雀」
25,1,初心者狩り四天王「死体撃ちの白虎」
26,2,ダ・ヴィンチ・恐山
27,2,ARuFa
28,2,原宿
29,2,永田
30,2,加藤
31,2,初心者狩り四天王「フィニキャンの青龍」
32,2,"モーニング娘。の逆、丑の刻GUYS,"
33,2,H.N.お刺身だいすきくん
34,2,Tohjiによく似たあかちゃん
35,2,妖怪ウォッチ（無限列車編）
36,2,サロンパス
37,2,まふまふの姉、もふもふ
38,3,初心者狩り四天王「チート使いの玄武」
39,3,UTF-8
40,3,Shiftキーが宍道湖と同じ大きさのパソコン
41,3,開闢の苗
42,3,ナノテクノロジーマシン
43,3,('＿') < 通さない。俺はこの道を通さない。
44,3,牛角の株100%
45,3,消えない炎
46,3,融けない氷
47,4,歪んだ球体とそれに纏わる７つの書
48,4,キューピー三分クッキング　〜世界を破滅に導く簡単な方法　編〜
49,4,■■■★◆■●●■■■●
50,5,小さくて暗い唯一の希望
51,1,ご当地アイドルだけが覚えられるバフ技
